;,ASHRAE 90.1-2010 PRM Ruleset,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,,,,,,,
;,,DefaultVertFenPerf,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,,,,,,,,,,
;,,9/22/2014,L. Hovee,90.1 2012 Update,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Reference:,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,,,,,,,,,,
;,,"BaseVerticalFenPerformance:UFactor(""FenestrationFrame"",FenFrm,""FenestrationPanes"",FenPanes)",,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,,,,,,,,
,TABLE DefaultVertFenPerf,,,,,,,,,,,,,,,,,,,,,,
,,FenestrationFraming,FenestrationPanes,Ufactor,SHGC,VT,UFactor,SHGC,VT,,,,,,,,,,,,,,
,,GlazingTint= ,,ClearGlazing,ClearGlazing,ClearGlazing,TintedGlazing,TintedGlazing,TintedGlazing,,,,,,,,,,,,,,
,,*,SinglePane,1.25,0.82,0.76,1.25,0.70,0.58,,,,,,,,,,,,,,
,,*,GlassBlock,0.60,0.56,0.56,Error1,Error1,Error1,,,,,,,,,,,,,,
,,Wood,DoublePane,0.60,0.59,0.64,0.60,0.42,0.39,,,,,,,,,,,,,,
,,Vinyl,DoublePane,0.60,0.59,0.64,0.60,0.42,0.39,,,,,,,,,,,,,,
,,Fiberglass,DoublePane,0.60,0.59,0.64,0.60,0.42,0.39,,,,,,,,,,,,,,
,,Wood,TriplePane,0.45,0.52,0.57,0.45,0.34,0.21,,,,,,,,,,,,,,
,,Vinyl,TriplePane,0.45,0.52,0.57,0.45,0.34,0.21,,,,,,,,,,,,,,
,,Fiberglass,TriplePane,0.45,0.52,0.57,0.45,0.34,0.21,,,,,,,,,,,,,,
,,Metal,DoublePane,0.90,0.68,0.66,0.90,0.50,0.40,,,,,,,,,,,,,,
,,Other,DoublePane,0.90,0.68,0.66,0.90,0.50,0.40,,,,,,,,,,,,,,
,,Metal,TriplePane,0.70,0.60,0.59,0.70,0.42,0.22,,,,,,,,,,,,,,
,,Other,TriplePane,0.70,0.60,0.59,0.70,0.42,0.22,,,,,,,,,,,,,,
,,Error1,Tinted Glazing is not a valid selection for GlassBlock fenestration products ,,,,,,,,,,,,,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
