TABLE WhseCECStd13080012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
Office_TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys3,Zn_Office,4053.99,-99996,-99996,,,,,
FineStorage_TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys9,Zn_FineStorage,7080.144,-99996,-99996,,,,,
BulkStorage_TU,BaseUnctrl TrmlUnit-3,Uncontrolled,BaseAirSys9-2,Zn_BulkStorage,31472.844,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseCECStd13080012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Office_CoilClg,BaseSys3 CoilClg,DirectExpansion,BaseAirSys3,Zn_Office,112292.727,117156.195,-99996,-99996,11,1,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseCECStd13080012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Office_CoilHtg,BaseSys3 CoilHtg,Furnace,BaseAirSys3,Zn_Office,144697.984,144697.984,0,0.78,0.8,,,
FineStorage_CoilHtg,BaseSys9 CoilHtg,Furnace,BaseAirSys9,Zn_FineStorage,192788.734,192788.734,0,-99996,0.8,,,
BulkStorage_CoilHtg,BaseSys9 CoilHtg-2,Furnace,BaseAirSys9-2,Zn_BulkStorage,443414.375,443414.375,0,-99996,0.8,,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseCECStd13080012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
Office_SupplyFan,BaseSys3 Fan,ConstantVolume,BaseAirSys3,Zn_Office,4053.99,-99996,0.6,StaticPressure,3,5,InAirStream,0.895
FineStorage_SupplyFan,BaseSys9 Fan,ConstantVolume,BaseAirSys9,Zn_FineStorage,7080.144,-99996,0.6,StaticPressure,3,7.5,InAirStream,0.917
BulkStorage_SupplyFan,BaseSys9 Fan-2,ConstantVolume,BaseAirSys9-2,Zn_BulkStorage,31472.844,-99996,0.62,StaticPressure,3.5,30,InAirStream,0.936
Office_ReliefFan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys3,Zn_Office,3926.503,0,0.4,StaticPressure,0.75,1.5,InAirStream,0.865
ENDTABLE,,,,,,,,,,,,
TABLE WhseCECStd13080012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
Office_OACtrl,BaseSys3 OACtrl,DifferentialDryBulb,BaseAirSys3,Integrated,,,,,,,,
FineStorage_OACtrl,BaseSys9 OACtrl,NoEconomizer,BaseAirSys9,UNDEFINED,,,,,,,,
BulkStorage_OACtrl,BaseSys9 OACtrl-2,NoEconomizer,BaseAirSys9-2,UNDEFINED,,,,,,,,
ENDTABLE,,,,,,,,,,,,
