TABLE RetlMedCECStd16050012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
BaseVAVTrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,Back_Space Thermal Zone,3821.645,764.329,1910.823,DualMaximum,,,,
BaseVAVTrmlUnit-2,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,Core_Retail Thermal Zone,23498.414,4699.683,11749.207,DualMaximum,,,,
BaseVAVTrmlUnit-3,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,Front_Retail Thermal Zone,1958.144,391.629,979.072,DualMaximum,,,,
BaseVAVTrmlUnit-4,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,Point_Of_Sale Thermal Zone,1948.687,389.737,974.344,DualMaximum,,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlMedCECStd16050012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys5 CoilClg,BaseSys5 CoilClg,DirectExpansion,BaseAirSys5,NONE,1005162.563,1048696.75,-99996,-99996,9.5,2,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlMedCECStd16050012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys5 CoilHtg,BaseSys5 CoilHtg,HotWater,BaseAirSys5,NONE,96111.172,96111.172,4.80373,-99996,-99996,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys5,Back_Space Thermal Zone,127237.695,127237.695,6.35947,-99996,-99996,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys5,Core_Retail Thermal Zone,479768.5,479768.5,23.97931,-99996,-99996,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys5,Front_Retail Thermal Zone,61792.738,61792.738,3.08846,-99996,-99996,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys5,Point_Of_Sale Thermal Zone,61780.738,61780.738,3.08786,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlMedCECStd16050012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
BaseSys5 Fan,BaseSys5 Fan,VariableSpeedDrive,BaseAirSys5,NONE,35660.211,6245.378,0.62,StaticPressure,4,40,InAirStream,0.941
BaseSys5 ReliefFan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys5,NONE,34432.055,0,0.5,StaticPressure,1,15,InAirStream,0.924
ENDTABLE,,,,,,,,,,,,
TABLE RetlMedCECStd16050012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
BaseSys5 OACtrl,BaseSys5 OACtrl,DifferentialDryBulb,BaseAirSys5,Integrated,,,,,,,,
ENDTABLE,,,,,,,,,,,,
