;,CEC Title-24 Residential Compliance Ruleset,,,,,,
;,Climate Zone-based DHW heater air-source heat pump adjustment factors,,,,,,
;,Last modified:,,8/21/15 - SAC,,,,
;,,,,,,,
;,Source Data:,,"RACM, Appendix B, table B-6",,,,
;,,,,,,,
;,Mod history:,,8/21/15 - SAC created table,,,,
;,,,,,,,
;,Independents:,,,,,,
;,,1,CA Climate Zone (1-16),,,,
;,,,,,,,
;,Dependents:,,,,,,
;,,1,DHW air-source heat pump adjustment factors,,,,
;,,,,,,,
;,,,DHW,,,,
;,,,ASHP,,,,
;,,,Adj Fctr,,,,
;,,,(),,,,
,TABLE CAClimateZoneDHWASHPAdj,,,,,,
,,ClimateZone,HPAdj,,,,
,,1,1.04,,,,
,,2,0.99,,,,
,,3,0.99,,,,
,,4,1.07,,,,
,,5,1.07,,,,
,,6,0.92,,,,
,,7,0.92,,,,
,,8,0.92,,,,
,,9,0.92,,,,
,,10,0.92,,,,
,,11,0.92,,,,
,,12,1.07,,,,
,,13,0.92,,,,
,,14,1.04,,,,
,,15,0.92,,,,
,,16,1.5,,,,
,ENDTABLE,,,,,,
